"site_id","安","巴","白","包","兵","步","才","蔡","曹","曾","沈","陳","程","戴","鄧","丁","董","杜","范","方","風","馮","傅","甘","高","葛","龔","古","谷","官","郭","何","洪","侯","胡","華","黄","黃","紀","簡","江","姜","蔣","金","康","柯","賴","藍","雷","黎","李","豊","力","連","梁","廖","林","凌","留","劉","柳","盧","陸","呂","羅","馬","買","麥","毛","穆","歐","潘","彭","錢","邱","全","饒","阮","沙","邵","施","石","史","司","松","宋","蘇","孫","湯","唐","田","童","凃","涂","汪","王","魏","温","溫","翁","巫","吳","伍","武","夏","蕭","謝","辛","幸","徐","許","薛","顏","嚴","楊","姚","葉","易","尤","游","余","俞","袁","粘","詹","張","張簡","章","趙","鄭","鍾","鐘","周","朱","莊","卓","宗"
"高雄市美濃區",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,8,NA,NA,10.6,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,3.6,NA,NA,NA,2.6,1.1,NA,NA,1.3,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,8.4,NA,NA,1.9,NA,NA,NA
"高雄市彌陀區",NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,4.9,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,8.3,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.1,4.8,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,2.6,NA,NA,NA,1.7,NA,NA,NA,1.3,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,1.2,NA,NA,NA,NA,3.1,NA,NA
"高雄市那瑪夏區",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,3.2,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,12.9,NA,NA,3.7,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,3,NA,NA,1.8,3.3,NA,2.7,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,4.4,2.5,NA,NA,NA
"高雄市楠梓區",NA,NA,NA,NA,NA,NA,NA,3.8,NA,1.7,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,1.5,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,7.4,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,1.8,NA,NA,NA,2.1,NA,NA,NA,3,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
"高雄市內門區",NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,11.2,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,3.1,NA,5.4,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,2,NA,NA,NA,10.3,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,1.7,NA,NA,NA,2.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,2.9,NA,NA,NA,2.7,NA,NA,NA,NA,NA,2.8,NA
"高雄市鳥松區",NA,NA,NA,NA,NA,NA,NA,3.2,NA,1.3,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1,1.7,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,8.6,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,2.6,NA,NA,NA,2.1,NA,NA,NA,2.4,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA
"高雄市旗津區",NA,NA,NA,NA,NA,NA,NA,6.6,NA,1.6,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1.8,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,3.9,NA,NA,1.6,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,4.6,NA,NA,2.3,NA,NA,NA,NA,NA,4,NA,NA,NA,1.3,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,1.4,NA,NA,NA,NA,5.6,NA,NA
"高雄市旗山區",NA,NA,NA,NA,NA,NA,NA,2.1,NA,1.3,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,1.9,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,9.3,NA,NA,3.6,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,1.2,NA,NA,NA,1.5,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,2.3,1.4,NA,NA,NA,NA,NA,NA
"高雄市前金區",NA,NA,NA,NA,NA,NA,NA,3.9,NA,1.3,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,2.2,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,7.5,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,1.8,NA,NA,NA,2.9,NA,NA,NA,2.6,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1.4,2.2,NA,NA,NA,NA,1.4,NA,NA
"高雄市前鎮區",NA,NA,NA,NA,NA,NA,NA,4.1,NA,1.3,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,2.4,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,7.1,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,1.8,NA,NA,NA,2.7,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,2,NA,NA,NA,1.3,1.3,NA,NA
"高雄市橋頭區",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,9.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,2.6,NA,2.6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,1.4,NA,NA,NA,4.1,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,1.9,NA,NA,NA,1.9,NA,NA,NA
"高雄市仁武區",NA,NA,NA,NA,NA,NA,NA,3.4,NA,1.6,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1.9,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,7.2,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,1.9,NA,NA,NA,2.3,NA,NA,NA,2.5,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA
"高雄市三民區",NA,NA,NA,NA,NA,NA,NA,3.8,NA,1.6,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,2.1,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,7.4,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,1.9,NA,NA,NA,2.7,NA,NA,NA,2.6,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,2.2,NA,NA,NA,NA,1.4,NA,NA
"高雄市杉林區",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.3,NA,NA,NA,NA,6.4,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,1.6,7.5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,1.4,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,4.9,NA,NA,1.8,NA,NA,NA
"高雄市桃源區",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,10.7,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,2.1,NA,NA,3.5,NA,NA,NA,NA,2.9,1.3,NA,NA,NA,1,NA,NA,NA,NA,NA,5.2,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"高雄市田寮區",NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.8,NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,3.3,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,12.6,NA,NA,3.3,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5.5,NA,NA,NA,6.3,NA,NA,NA
"高雄市小港區",NA,NA,NA,NA,NA,NA,NA,2.8,NA,1.2,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,5.4,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,2.1,NA,6.7,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,2,NA,NA,NA,2.4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,1.8,NA,NA,NA,NA,0.9,NA,NA
"高雄市新興區",NA,NA,NA,NA,NA,NA,NA,3.9,NA,1.3,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.1,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,7.6,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,1.9,NA,NA,NA,2.6,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,2.3,NA,NA,1.2,NA,1.2,NA,NA
"高雄市鹽埕區",NA,NA,NA,NA,NA,NA,NA,4.7,NA,1.5,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.7,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,7.5,NA,NA,2.6,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1.5,NA,NA,NA,3.2,NA,NA,NA,2.6,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,2.2,NA,NA,NA,NA,1.3,NA,NA
